Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,SH.DYN.NMRT,SH.DYN.MORT,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Malta,6.52699995,2017,0,0,0,0,0,51.17976177,0,0,0,0,0,12518134319,39.69112992,0,4.4,6.4,0,0,0,320,0,249.197969,4.567200184,0
Mauritania,4.291999817,2017,0,76.60704,0,0,0,75.64201039,0,0,0,0,0,5024708656,22.70299397,0,33.8,79,24.28309,0,0,1030700,0,111.0398584,0,0
Mauritius,5.629000187,2017,0,96.18218,0,0,0,41.50846066,0,0,63.08222,22.97065506,0,13266427697,10.04907694,0,7.9,13.1,12.65226,17.93769,0,2040,18.53697825,97.59752539,6.752200127,0
Mexico,6.578000069,2017,0,0,0,0,0,50.43229845,0,0,0,0,0,1.15E+12,22.64840083,0,7.6,13.4,0,0,0,1964375,0,77.5378526,3.41960001,0
Moldova,5.837999821,2017,0,89.71414,0,0,0,36.24613542,0,0,0,31.885229,0,8128493432,0,0,11.6,15.5,9.91073,17.68211,0,33850,20.74995511,0,4.097599983,0
Mongolia,4.954999924,2017,0,98.86043,0,0,0,50.82623128,0,0,29.22618,0,0,11433635876,37.35004738,0,9.1,17.2,0,30.37955,0,1564120,0,117.142495,6.359399796,0
Montenegro,5.236999989,2017,0,96.26474,0,0,0,48.98601022,0,0,0,0,0,4844592067,7.073379,0,2.3,3.5,0,0,0,13810,0,105.554965,16.07110023,0
Morocco,5.235000134,2017,0,96.85602,0,0,0,51.88779754,0,0,0,0,0,1.10E+11,23.07906446,0,14.4,23.3,20.26796,28.03417,0,446550,0,83.73229681,0,0
Mozambique,4.550000191,2017,0,87.53715,0,0,0,92.11742378,0,0,0,18.40948049,0,12645508634,5.566729023,0,26.9,72.4,36.54379,52.43683,0,786380,23.18297441,113.3920392,0,0
Myanmar,4.545000076,2017,0,97.7122,0,0,0,48.28597044,0,0,39.40016,16.7509808,0,67068745521,28.74257015,0,24.1,48.6,26.41695,23.04535,0,676590,6.017069344,47.95316736,1.551100016,0
Namibia,4.573999882,2017,0,97.81808,0,0,0,67.35748523,0,0,0,0,0,13253698015,6.876311175,0,17.5,44.2,0,0,0,824290,0,84.12907382,0,0
Nepal,4.961999893,2017,0,94.83624,0,0,0,57.98363806,0,0,0,19.61110009,0,24880266905,11.94827603,0,20.7,33.7,28.82411,20.90655,0,147180,20.952273,51.98342875,0,0
Netherlands,7.376999855,2017,0,0,0,0,0,54.30223504,0,0,0,0,0,8.26E+11,31.83949654,0,2.3,3.9,0,0,0,41540,0,161.2465356,4.838600159,0
New Zealand,7.31400013,2017,0,0,0,0,0,54.05359982,0,0,0,29.99229034,0,2.06E+11,0,0,3,5.3,0,0,0,267710,27.32916438,0,4.702000141,0
Nicaragua,6.071000099,2017,0,0,0,0,0,52.62024748,0,0,0,16.48133444,0,13814261536,14.78961376,0,7.1,17.2,0,0,0,130370,16.53992024,96.65088373,0,0
Niger,4.027999878,2017,0,66.81589,0,0,0,111.6477809,0,0,0,0,0,8119710126,17.35324328,0,26,84.5,29.73171,36.33661,0,1267000,0,49.58748371,0,0
Nigeria,5.073999882,2017,0,0,0,0,0,87.7665048,0,0,0,0,0,3.76E+11,15.46985285,0,32.9,100.2,0,0,0,923770,0,26.347599,0,0
Norway,7.537000179,2017,0,0,0,0,0,52.8939944,0,0,0,0,0,3.99E+11,31.18955564,0,1.5,2.6,0,0,0,625217.1094,0,68.52432779,4.162099838,0
Pakistan,5.269000053,2017,0,76.45031,0,0,0,64.67149594,0,0,0,0,0,3.05E+11,6.777115075,0,44.2,74.9,19.38545,44.78201,0,796100,0,25.78813182,0,0
Panama,6.452000141,2017,0,0,0,0,0,54.57418234,0,0,0,0,0,62283756584,38.6597222,0,8.9,16.1,0,0,0,75420,0,87.56677111,3.899800062,0
Paraguay,5.493000031,2017,0,0,0,0,0,55.70785807,0,0,0,15.52010796,0,39667400816,25.01669736,0,11.1,21,0,0,0,406751.9922,9.887940295,66.09518587,4.614600182,0
Peru,5.715000153,2017,0,99.33288,0,0,0,52.75701961,0,0,33.77806,20.28152372,0,2.11E+11,22.59164313,0,7.3,15,14.57939,17.93677,0,1285220,13.16059349,46.86707956,0,0
Philippines,5.429999828,2017,0,0,0,0,0,57.52594661,0,0,0,14.2593435,0,3.14E+11,15.20391822,0,13.6,28.1,0,0,0,300000,14.23906053,71.8306517,2.551800013,0
Poland,5.97300005,2017,0,0,0,0,0,46.15671016,0,0,0,0,0,5.26E+11,23.72651257,0,3,4.7,0,0,0,312680,0,104.558107,4.88740015,0
Portugal,5.195000172,2017,0,0,0,0,0,54.1710138,0,0,0,0,0,2.18E+11,17.35317388,0,2.1,3.7,0,0,0,92225.5957,0,85.19658711,8.866999626,0
Qatar,6.375,2017,0,98.66677,0,0,0,17.90255657,0,0,0,0,0,1.67E+11,58.3883019,0,3.8,7.6,10.41565,11.77467,0,11610,0,88.29943057,0.140000001,0
Romania,5.824999809,2017,0,0,0,0,0,49.50843185,0,0,0,0,0,2.12E+11,22.31185676,0,3.7,7.8,0,0,0,238400,0,84.98236088,4.92689991,0
Rwanda,3.470999956,2017,0,93.93462,0,0,0,75.78279626,0,0,0,0,0,9135454442,8.850879409,0,16.4,37.9,20.08785,57.85938,0,26340,0,51.01294572,17.35740089,0
