ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Brunei Darussalam,2016,100,96.61512,-7.31940919033242,-8.55764409906941,3.99414465465303,46.75885673,38.3314429164937,15.873,..,..,..,..,3.575,19.5228,60.84435,..,..,11400653949.1783,-2.4655149233665,52.6264491832924,..,-0.729813528336365,4.7,10.5,423196,8.56453,10.19678,..,5770,..,87.319801332806,..,..
Bulgaria,2016,100,93.15892,8.34361839021727,9.10619228600463,3.85014439616643,26.57099023,52.8289936362545,9.1,..,..,..,..,15.1,..,..,32.3617539572931,..,53240950226.2443,3.9367581489791,23.4575586954212,..,5.96812763890446,3.9,7.9,7127822,12.63651,17.61018,..,111000,20.0410294273877,123.643790502497,7.57460021972656,..
Burkina Faso,2016,19.1647129058838,75.85293,16.3737348960151,13.0297122338309,4.31,..,91.561139777724,38.92,..,..,..,..,8.568,..,..,17.3288642188692,..,10886363726.8422,5.93413510489553,15.1038284337647,..,4.26505510700352,26,84.5,18646433,23.38275,41.54927,..,274220,16.6565904125771,51.9403785151064,..,..
Burundi,2016,7.58847713470459,..,-3.93151787913449,-6.89685532374068,5.17552163934371,-2.649011924,90.1197882258195,42.248,..,..,..,..,10.788,..,..,..,..,2959185295.39019,-0.600019999969277,-1.04831213964206,..,..,22.8,63.9,10524117,32.13206,49.66066,..,27830,..,23.0561784121918,..,..
Cabo Verde,2016,92.6115875244141,86.41023,0.879856022123121,-0.362912906224125,5.01,..,54.0767985287945,20.901,..,..,..,..,5.531,39.08446,40.84653,..,..,1663008687.09505,4.70579150927118,19.5241386151353,..,-7.44381831010618,11,18.5,539560,16.00499,21.4778,..,4030,..,104.1918617279,..,..
Cambodia,2016,49.7706565856934,92.78161,7.94135089217676,6.26539565761513,2.00537701824782,17.82891158,55.3992529338044,23.296,..,..,..,..,6.055,..,..,12.9896420554064,..,20016747754.0192,6.86309209821934,18.6702663323735,..,7.04661444881387,15.6,30.6,15762370,..,42.53404,..,181040,15.2611080376218,126.950028975988,..,..
Cameroon,2016,60.0747680664063,95.2740199999999,2.49229324078179,-0.151727739509965,2.68,16.79770846,85.4205882355268,36.3,..,..,..,..,10.076,..,..,..,..,32621535418.9031,4.64848155096477,17.8823311934688,..,5.00753727779788,26.1,86.8,23439189,19.25706,42.73541,..,475440,..,43.2045179184235,..,..
Canada,2016,100,99.9622399999999,0.821038218693502,-0.380239567903956,4.93,19.59708747,48.2439168641162,10.8,..,..,..,..,7.5,..,..,17.3365738052357,..,1535767736946.18,1.41410274557691,20.7118524828716,..,0.481523908401257,3.5,5.2,36264604,..,..,..,9984670,12.1758422721427,64.352107043654,6.99889993667603,..
Cayman Islands,2016,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.53565894998683,..,..,4.23316093003407,..,..,60765,..,..,..,260,..,..,..,..
Central African Republic,2016,13.9851121902466,..,3.43947199351094,2.34711059512853,1.15,..,89.2512487699714,35.7,..,..,..,..,13.538,..,..,..,..,1755468136.86556,4.53128596327306,-3.70565640768986,..,..,42.4,125,4594621,34.62948,83.41195,..,622980,..,42.7543350813203,..,..
