Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Bangladesh,4.694,2015,68.2046813964844,..,6.05434545962262,4.87301246690126,1.73867129203447,33.85177628,52.5785110798697,19.29,5.312,..,..,9.00588487034226,10.9610269,1.9507867869723E11,6.55265279631962,22.1584701382232,87.8887699999999,10.31057686857,20.7,36.4,161200886,..,..,34.7470690115416,147630,8.49834882820801,42.0859963070382,..,..
Belarus,5.813,2015,100,94.63606,-6.80732380124425,-6.95566229818471,4.92641553030256,26.90308894,43.8254479495254,12.5,12.6,..,..,28.110499205426,0.40098554,5.64547343965842E10,-3.82957055828382,32.2008910929742,..,-6.33695582955933,1.7,4.1,9489616,8.36258,17.57007,6.7708695317313,207600,14.1730944654204,115.914826201946,1,..
Belgium,6.937,2015,100,98.38075,1.20460367325327,0.619873136488437,6.22215991049321,23.188446,54.193605740924,10.8,9.8,..,..,42.0115016067884,0,4.55039563132776E11,1.42695680945808,24.9371603778299,..,3.42963324161649,2.2,4,11274196,9.42496,11.23127,9.20164053078148,30530,24.6673759202321,160.229325319499,8.48200035095215,..
Benin,3.34,2015,40.0334777832031,..,1.55476488901525,-1.22263994380724,4.01059221652252,15.8495347,86.0977848350733,37.431,9.319,49.80869,23.73528,..,34.23423794,8.29115588059505E9,2.0958083832335,14.396998246258,..,8.15513626834381,33.7,103.7,10575952,10.32268,45.04478,50.8626179373594,114760,..,58.7978847750724,..,..
Bhutan,5.253,2015,98.4235229492188,84.61948,3.35496431894275,1.91920523798296,6.94566347354485,22.56365889,47.2696462772325,18.46,6.043,..,41.49114,18.8664046934208,5.27929865,2.05980991989325E9,6.64456425820161,23.9682731409364,..,4.41421152345052,18.3,33.4,787386,12.14578,40.00443,86.9045483179462,38393.9990234375,13.7660707463982,96.4182116610232,2.45000004768372,..
Bolivia,5.89,2015,91.522822,89.88581,4.21712247959005,2.6375847309464,6.08,14.71966453,63.6947930802743,23.549,7.353,..,..,..,3.12527749,3.30001982633864E10,4.857187894912,14.0850239157884,99.39917,4.57660301616825,19.9,37.5,10724705,20.84395,18.10837,17.5381818257023,1098580,..,67.9328449414657,3.06599998474121,..
Bosnia and Herzegovina,4.949,2015,100,..,4.46504436985474,5.35256388659002,..,13.04526282,43.2557828613795,9.12,10.886,..,..,36.9160703202984,2.39441043,1.62097028636235E10,3.07682267108953,-3.79499115837574,..,6.39335426551585,4.2,6,3535961,10.14673,17.16401,40.7500602307998,51210,19.9364771928983,88.0873801341512,27.6499996185303,..
Botswana,4.332,2015,58.528751373291,..,1.26240908582808,-0.599663018516921,9.48,41.13945886,55.0809943392412,24.14,7.022,..,..,29.3438538394978,8.35538908,1.44064964636055E10,-1.69793550237911,27.314008752457,..,3.23758810440975,27,40.6,2209197,..,..,28.8798269935477,581730,24.7116701898132,105.794545059157,..,..
Brazil,6.983,2015,99.710902,96.85231,-4.32964512842507,-5.14205213152059,5.68859537743985,14.74741982,43.8242632414608,14.405,6.092,25.61507,41.3708,36.1580527182412,0.73362756,1.80221437374132E12,-3.54976724660116,16.2583827610954,98.96375,-8.48427123497169,9.4,15.7,205962108,16.45139,20.58529,43.7903891971588,8515770,12.8248632636748,26.9536259376792,..,136.123065720007
Bulgaria,4.218,2015,100,94.79227,3.72301722089001,4.38695807457012,3.85014439616643,23.39089711,51.7058584581101,9.2,15.3,..,..,34.7890312412504,..,5.02013148945817E10,3.47118604090714,21.3365592174785,..,4.83269191221834,4.1,8.3,7177991,..,..,17.6500779274042,111000,20.2013712641913,128.061014821304,9.14330005645752,..
Burkina Faso,3.587,2015,18.4700813293457,69.96008,-0.556924599723303,-3.43769288134237,4.31,14.89010081,92.2404614970802,39.436,8.818,57.86803,22.0908,14.9810451754907,29.56322962,1.04193037613524E10,3.89454805671508,14.0878397894878,..,-2.40793310620556,26.6,88.4,18110624,25.19571,42.17715,74.1671878585048,274220,15.0749297615291,47.9479044078272,..,..
Burundi,2.905,2015,7.25208950042725,..,-6.47903839402248,-9.29843873096877,5.17552163934371,2.083308248,89.592063479966,42.662,11.032,..,..,..,40.51923619,3.10439485811518E9,-3.90000308649554,2.16441558074287,..,..,23.4,67.1,10199270,35.79281,43.22109,95.6789242535879,27830,..,22.8507110854907,..,..
Cambodia,3.819,2015,47.5657386779785,95.28891,6.6920556926917,4.99486404670553,2.00537701824782,17.68192462,55.572952126857,23.682,6.109,..,..,11.5969699894276,19.15212272,1.80499542894229E10,7.03608717929632,17.7968726347933,92.21236,9.22442341883539,16.3,32,15517635,..,45.52116,64.9237759106607,181040,14.168238028712,127.86406699658,..,..
Cameroon,4.252,2015,58.8651008605957,..,5.6134341836844,2.86322776344781,2.68,16.89675308,85.8683837080978,36.837,10.348,..,..,..,7.89886741,3.09162185444404E10,5.6514637436283,17.0461738234399,..,3.0767372582888,26.5,90.1,22834522,19.86712,41.46571,76.5384004118885,475440,..,49.8692069982459,..,..
Canada,7.427,2015,100,99.5981,-1.5779244274114,-2.3941550972371,4.93,20.35824587,47.3310123302842,10.8,7.5,..,..,17.0391561327799,..,1.55962339303866E12,1.00088249407992,21.6388099519227,..,0.259308217969647,3.6,5.3,35832513,..,..,22.0253592107108,9984670,12.3159880315463,65.5277353225282,6.9064998626709,..
Central African Republic,3.678,2015,13.3844232559204,..,5.53136057040642,4.81851724967082,1.15,..,90.03543961763,36.113,14.008,..,..,..,43.50640842,1.58377680596568E9,4.79988608115663,-8.04407918447696,..,2.12125267128789,43.1,130.2,4546100,..,..,76.5670200103872,622980,..,47.1906221896738,..,..
Chad,3.667,2015,7.7,..,-6.90797719892869,-9.83159453620766,1.76679083894578,..,100.169501091262,43.864,13.217,..,..,..,14.89037545,1.09459894716286E10,2.7676756848447,21.5347632823602,38.77242,-2.49999992488014,35.9,130.8,14009413,27.45229,55.54179,89.357395570733,1284000,..,66.5641643497065,..,..
Chile,6.67,2015,99.714844,91.63367,3.13534190909775,2.2708834915057,4.57,21.95881464,45.4704862739092,13.437,6.066,25.61475,29.36544,21.6438045222586,0.00146849,2.4399947773794E11,2.30525713839252,23.560851970379,99.3539399999999,0.334289776609921,5.3,7.9,17762681,19.44185,18.3778,24.8825542739544,756096.015625,17.4380140795419,58.9528438182819,..,..
China,5.14,2015,100,..,6.89918282016373,6.35736653933343,1.79,48.57642187,37.6684921504844,12.07,7.11,..,..,16.4252218844375,0.00793736,1.10646662826255E13,6.90020481672437,47.4253807496709,..,..,5.5,10.8,1371220000,13.81544,16.29441,12.4133525698911,9562911.25,9.37428211590801,39.45306552453,..,..
Colombia,6.477,2015,98.186898,93.16819,4.37007532698514,3.424841668241,3.42476124014368,18.88678957,45.61503923047,15.479,5.942,36.72368,35.40608,27.5261000208776,4.00888828,2.93481748240779E11,2.95594590662741,16.7133511952399,98.53473,2.01168765954986,8.6,15.7,48228697,26.47999,24.23937,23.5647575160943,1141748.984375,14.994244133159,38.3607641184453,8.29899978637695,..
Comoros,3.956,2015,75.3807144165039,..,9.20397177239391,6.67005148333388,4.31387796015044,..,75.5470150702934,33.334,7.49,54.61209,27.69313,..,10.07298782,9.88150249533688E8,1.09996463224388,-3.09309631306024,..,..,33.1,73.2,777424,..,..,45.3330523920407,1861.00006103516,..,36.9437708033427,..,..
Costa Rica,7.226,2015,99.409804,96.51653,5.81400347826752,4.70747801681888,7.07150884407115,15.49926507,45.3693244351345,14.525,4.882,36.83827,33.68089,29.4233449364172,0.01413609,5.47759944784981E10,3.63173144148803,17.564404639205,..,-5.09096637406434,6.1,9.4,4807852,13.9521,12.6763,38.7334138821774,51100,13.6570929886332,62.518296399044,..,..
Croatia,5.759,2015,100,98.34581,3.5465127411731,4.40336449164764,4.5253855271505,24.57565539,50.8549190908664,8.9,12.9,..,..,..,0.01213789,4.94901424331046E10,2.4005918833643,22.3730417690784,..,4.60479788435325,3.1,4.8,4203604,7.03333,13.702,33.1274666358571,56590,..,93.904974524731,16.175199508667,..
